id,ts,state,requested_model,would_serve_model,would_provider,interactive,reason
1,1786977775.195547,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
2,1786977786.4185698,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
3,1786977835.5035663,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
4,1786977849.4200711,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
5,1786977862.8166246,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
6,1786977912.9331677,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
7,1786977985.9161053,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
8,1786977988.8814054,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
9,1786979606.9650295,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
10,1786979618.7887752,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
11,1786979621.3943508,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
12,1786979670.3981,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
13,1786980075.106674,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
14,1786980209.1403234,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
15,1786980326.6689365,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
16,1786980361.7174778,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
17,1786980918.2287617,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
18,1786980924.8893647,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
19,1786981009.221795,RED,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
20,1786988677.4839368,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
21,1786988735.5874443,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
22,1786988761.7162185,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
23,1786988831.2192948,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
24,1786988834.1412423,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
25,1786988847.4425864,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
26,1786988848.290832,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
27,1786988904.0039284,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
28,1786988904.5360608,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
29,1786989361.832373,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
30,1786989715.6108117,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
31,1786989776.1016343,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
32,1786989815.1829462,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
33,1786989906.4740431,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
34,1786989924.6569903,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
35,1786989924.8797734,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
36,1786989935.9383564,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
37,1786989940.5076628,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
38,1786989950.9285913,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
39,1786989951.8037384,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
40,1786989959.1308517,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
41,1786989962.2111814,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
42,1786989962.4832482,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
43,1786989971.9085207,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
44,1786989988.0808315,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
45,1786989995.3319616,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
46,1786990086.6556616,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
47,1786990114.6747425,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
48,1786990122.3080635,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
49,1786990274.8407123,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
50,1786990308.261533,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
51,1786990344.2366612,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
52,1786990345.9789097,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
53,1786990350.1551836,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
54,1786990350.5020766,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
55,1786990353.867586,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
56,1786990357.7321575,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
57,1786990361.349319,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
58,1786990365.0735786,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
59,1786990366.0038998,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
60,1786990368.3602014,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
61,1786990371.5919163,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
62,1786990373.8759773,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
63,1786990375.0354905,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
64,1786990380.5431209,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
65,1786990386.2073507,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
66,1786990390.874848,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
67,1786990394.2247295,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
68,1786990397.7144134,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
69,1786990399.9207923,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
70,1786990401.0276098,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
71,1786990405.583848,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
72,1786990410.802382,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
73,1786990416.4540164,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
74,1786990419.113863,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
75,1786990425.3454363,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
76,1786990431.098488,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
77,1786990435.142345,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
78,1786990436.8733695,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
79,1786990441.471363,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
80,1786990445.435071,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
81,1786990448.1536303,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
82,1786990452.898056,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
83,1786990456.515631,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
84,1786990457.0277436,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
85,1786990461.8774877,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
86,1786990467.1643665,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
87,1786990469.6723864,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
88,1786990473.4555585,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
89,1786990476.5801294,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
90,1786990480.5150154,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
91,1786990493.8393648,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
92,1786990523.1722531,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
93,1786990541.2957993,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
94,1786990545.6541874,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
95,1786990547.2871578,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
96,1786990548.9517198,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
97,1786990552.7693343,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
98,1786990556.629111,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
99,1786990560.4623222,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
100,1786990565.830312,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
101,1786990570.1389108,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
102,1786990570.4599516,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
103,1786990574.0582967,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
104,1786990577.8818064,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
105,1786990581.6127257,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
106,1786990588.4138017,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
107,1786990592.5233338,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
108,1786990641.7658327,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
109,1786990691.8660874,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
110,1786991251.8744435,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
111,1786991457.0032797,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
112,1786991457.135232,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
113,1786991461.2063262,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
114,1786991463.9860675,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
115,1786991466.6299033,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
116,1786991475.4467885,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
117,1786991483.0224779,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
118,1786991506.813687,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
119,1786991514.332236,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
120,1786991519.8268824,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
121,1786991522.8893666,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
122,1786991525.079812,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
123,1786991533.6059725,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
124,1786991547.8637087,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
125,1786991553.7406447,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
126,1786991560.4134266,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
127,1786991599.809646,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
128,1786991620.5407066,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
129,1786991628.978163,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
130,1786991648.377676,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
131,1786991650.4267597,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
132,1786991659.1638126,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
133,1786991673.3502102,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
134,1786991709.3348103,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
135,1786991716.398686,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
136,1786991731.5918756,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
137,1786991755.1038942,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
138,1786991778.4914455,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
139,1786991825.07564,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
140,1786991842.4964182,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
141,1786991917.6249027,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
142,1786991960.0798795,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
143,1786991990.0247712,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
144,1786992038.2974885,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
145,1786992092.9849122,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
146,1786992109.172478,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
147,1786992113.7206728,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
148,1786992118.6385052,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
149,1786993178.0790412,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
150,1786993185.3748713,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
151,1786993208.1607125,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
152,1786993283.6701255,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
153,1786993619.614822,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
154,1786993673.634938,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
155,1786993722.7985318,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
156,1786993729.2778687,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
157,1786993737.8780367,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
158,1786993737.9649825,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
159,1786993762.3937047,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
160,1786993769.6677873,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
161,1786993886.8509004,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
162,1786993921.5834835,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
163,1786993930.4487264,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
164,1786993967.4500723,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
165,1786993973.7286189,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
166,1786993979.9278216,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
167,1786993985.0519602,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
168,1786994001.5708303,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
169,1786994007.6556807,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
170,1786994017.777928,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
171,1786994046.1186206,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
172,1786994063.5804148,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
173,1786994101.4900997,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
174,1786994112.873237,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
175,1786994125.9598532,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
176,1786994139.9682252,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
177,1786994154.9449375,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
178,1786994169.5487125,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
179,1786994353.4820254,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
180,1786994401.8409767,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
181,1786994414.848007,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
182,1786994421.945426,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
183,1786994427.38051,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
184,1786994452.5706084,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
185,1786994466.2745695,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
186,1786995064.490072,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
187,1786995068.3602297,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
188,1786995096.6374414,GREEN,glm-5.3,glm-5.3,friend,0,bg_kept
189,1786995127.071657,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
190,1786995143.2339008,AMBER,glm-5.3,glm-5.2,ollama_cloud,0,bg_downgraded_ollama
